Title,CompanyName,Location,Summary
[동영상플랫폼] 플랫폼서버 개발자 모집,카카오,성남 판교역,플레이 워크플로우 관리 및 개발 플랫폼 모니터링 시스템 지원자격 [최소 자격] 개발 경력 2년 이상 golang으로 프로젝트 진행 경험이 있는 분 네트워크 프로그래밍 경험이 있는 분 메세지 큐를 활용한 마이크로서비스...
[카카오 클라우드]DBaaS(DataBase As A Service) 개발자 모집,카카오,성남 판교역,"DBaaS 운영 및 유지 보수 지원자격 필수 자격 협업을 우선 가치로 유연한 커뮤니케이션이 가능하신 분 golang, python 등으로 API 기반 서비스를 구현해본 경험이 있으신 분 서비스 요구 사항을 기능으로 구현..."
MongoDB Engineer 모집,카카오,성남 판교역,"영해본 경험이 있는 분 C/C++ 또는 Python 언어를 이용한 프로그램 개발(프로젝트) 경험이 있는 분 Golang, Python, Java등으로 API 기반 서비스 개발이 가능한 분 Openstack, K8S 환경 기반..."
AI 인공지능 서비스 플랫폼 개발자,코그넷나인,서울 서초구,"B2B 어플리케이션 Front-end, Back-end 구축 개발 자격요건 JAVA, Node.js, Golang 중 1가지 이상의 언어로 Back-end 개발 5년차 이상 버전 관리 시스템(Git) 사용 경험자..."
DAP솔루션 Back-end 개발자,코그넷나인,서울 서초구,CentOS7 ? 개발언어: Golang ? 개발 Platform... 가능자? 서버 OS: AWS Linux CentOS7? 개발언어: Golang? 개발 Platform: Linux CentOS7우대사항 ? 유관업무...
[NAVER Cloud] Kubernetes 서비스 개발,네이버클라우드,성남 분당구,"라우드 플랫폼 Kubernetes Service 개발 및 운영[지원자격/필요역량]- 관련 경력 3년 이상- golang을 이용한 Application 개발 경험- Ansible 사용 경험 - Docker, kubernetes..."
어드민 풀스택 개발자,위메이드엔터테인먼트,성남 분당구,"업무 블록체인 기반 서비스 어드민 풀스택 개발사용기술: React, TypeScript, JavaScript, Golang 자격요건 Go, JavaScript, TypeScript 등 1가지 이상의 개발언어 중급 이상이신 분..."
DB Engineer 모집,카카오,성남 판교역,"것이 즐거운 분 원활한 커뮤니케이션이 가능하신 분 [우대사항] 대용량 DBMS 운영 경험이 있는 분 Golang, Python, Java등으로 API 기반 서비스 개발이 가능한 분 React, Vue.js 등 프론트개발..."
[CA] 모바일 개발자,한국카카오은행,성남 분당구,"발필수 경험과 역량· C, C++ 개발 경험이 있는 분· Java, Kotlin, Obj-C, Swift, Golang 중 3개 이상 개발 경험이 있는 분· 어떤 조건에서도 안전하게 동작할 수 있는 코드를 만들기 위해 노력하..."
인프라 플랫폼 DevOps,위메이드엔터테인먼트,성남 분당구,"있거나 스터디를 해보신 분스크립트(Python, Bash 등) 자동화 작성 가능하신 분개발 언어에 대한 이해( GoLang, Javascript 등)가 있으신 분 인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷..."
블록체인 백엔드 개발자,위메이드엔터테인먼트,성남 분당구,"서비스 설계/개발이 가능하신 분(REST API, RPC 서버, 전자서명 등) 우대사항 관련 경력 3년 이상 Golang 기반 개발 경험이 많으신 분대규모 트래픽 처리 및 고가용성 처리 개발 경험이 있으신 분OAuth, JWT..."
[BATTLEGROUNDS] Anti-Cheat 플랫폼 엔지니어 (2년 이상),크래프톤,서울 서초구,"가진 분과 함께 성장하고 싶습니다! 관련 경력 2년 이상 NodeJS 또는 Go (TypeScript, Golang) 개발 능력React, Vue, Angular 등을 사용한 SPA 웹 서비스 개발 경험AWS 등 클라우드..."
[리니지M] DBA 모집,엔씨소프트,성남 판교역,무에 임할 수 있으신 분 우대사항 다음 항목 중 조건이 하나 이상인 분 우대합니다. - C# - 파이썬 - Golang 유관 팀간 커뮤니케이션을 잘 이끌수 있는 분 우대합니다. 제출서류 필수 제출서류 없음 전형단계 서류전형...
